User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Carolyn Kohn,@KohnCarolyn,2020-01-02T23:55:41.000Z,"First, if they're vaping they aren't smoking them. Second, disposable pods apparently are the products of choice among law breaking youth.",1,,8
Amy Klobuchar,@amyklobuchar,2020-01-01T20:09:51.000Z,"For the record, I spent 0 days on the golf course in 2019.

https://cnn.com/2019/12/31/politics/trump-golfing-vacation/index.html?fbclid=IwAR12I7UfduWvohvrEVWtw_XuXOn8-aAr6k6enIooJNkZSzVFJM9J4qypypM¶",15.7K,17.3K,94.4K
Ruger,@rugermkIV,2020-01-02T23:58:35.000Z,"@realDonaldTrump
 does more in his sleep than you have done in a year. focus on your job and give up the dream of unseating the best President this country has had in centuries!",,,1
Capstone Report,@CapstoneReport,2020-01-02T22:47:43.000Z,"Jeffress calls out Never Trump Elites like 
@BethMooreLPM
 who let pride get in the way of supporting 
@realDonaldTrump
. 
Great 
@toddstarnes
 interview with 
@robertjeffress
 today. Here's a quick recap:Dr. Jeffress: Pride keeps Beth Moore, Never Trumpers from supporting President - Capstone Report
Dr. Robert Jeffress blasted Ivory Tower Evangelical Elites for their disconnect with average Christians. Also, Jeffress attacked the pride of many Never Trump evangelicals like Beth Moore. Jeffress...
capstonereport.com",22,50,109
Glynis Filyaw,@GlynisFilyaw,2020-01-02T23:53:26.000Z,I'm sad for Beth Moore. I use to read her book but then one day nothing she wrote made any sense to me any more.,,,5
Dave Langer,@davelanger2k,2020-01-02T23:54:00.000Z,Mueller said Trump obstructed justice.  He said its up to congress to go forward with that.Mueller said Trump obstructed justice.  He said its up to congress to go forward with that.,1,,
Paige,@paigethe1st,2020-01-02T23:57:55.000Z,Do you have any idea how unethical it is to charge somebody with obstruction of justice right after proving that the crime didn't happen?,2,,1
Richard W. Painter,@RWPUSA,2020-01-02T23:16:56.000Z,"Just like 
@realDonaldTrump
's ""perfect phone call"" ....Alan Dershowitz Insists He Has a Perfect, Perfect' Sex Life
The former Epstein lawyer is being sued by a woman who says he forced her into sex.
thecut.com",954,1.1K,3.7K
frankgatto,@frankgatto161,2020-01-02T23:59:41.000Z,"Who did this perfect perfect sex life include? 
Age.....................
Gender................
species................
Preferences..........
Toys?",,1,3
ùô∂ùöéùöñ‚Ñ¢,@Lady_Star_Gem,2020-01-02T14:24:12.000Z,"I'm so sad about this.

As a Mexican woman, I'm so proud of you for being a part of history.

You made me feel heard & seen.

I hope your fellow candidates will take some pointers from your personal insight.

I'm still rooting for you, sir.

Thank you.

¬°Si se puede! I'm so sad about this.

As a Mexican woman, I'm so proud of you for being a part of history.

You made me feel heard & seen.

I hope your fellow candidates will take some pointers from your personal insight.

I'm still rooting for you, sir.

Thank you.

¬°Si se puede! ",74,77,1.1K
Patriot Racer,@jimdaniels_jd,2020-01-02T23:52:35.000Z,".#kag vote 
@realDonaldTrump
 and keep your jobs.",,,1
Quinn Daniels,@MightyQuinnUSA,2020-01-02T23:54:33.000Z,"Also known as 
@realDonaldTrump
 is screwed. 

A smear campaign is a ploy to discredit a public figure by making false or dubious accusations.  

The evidence supporting #DonTheCon's impeachment and removal is based on fact.

#ImpeachAndRemoveTrump",2,1,1
Timothy John (Kaurna Karraundongga country),,2020-01-02T23:37:44.000Z,"I would love to see 
@realDonaldTrump
 ride a horseI would love to see 
@realDonaldTrump
 ride a horse",13,,35
üÑ∞üÑΩüÑ≥üÖÅüÑ¥üÑ∞,@AndreaEducator,2020-01-02T23:51:40.000Z,That would be unfair to the horse.,1,,16
"eli's dog,farf,is in Heaven",@farfnme,2020-01-02T23:54:27.000Z,"And the food stamps help stabilize the very Farmers he has to give Billions in aid to.
What sense does it all make?
Wharton School of Business should openly disclose what a poor student he was, as we obviously see nowAnd the food stamps help stabilize the very Farmers he has to give Billions in aid to.
What sense does it all make?
Wharton School of Business should openly disclose what a poor student he was, as we obviously see now",1,,5
ùìíùì∏ùì≠ùîÇ,@buzzman888,2020-01-02T16:56:04.000Z,"When does this end?

Joe Biden 
@JoeBiden
 needs pulled from his Presidential run.

Here's a #Trump2020 campaign ad for you 
@parscale
 & 
@realDonaldTrump
 

#Cody45
 
 https://twitter.com/alx/status/1212570955513552897/video/1¶",30,63,55
"Bryonny
CrossfireBoomerang",@BryonnyM,2020-01-02T23:46:49.000Z,"Fuck is wrong with this azzhole?!! 
@JoeBiden",1,1,2
A New Start,@ANewSta44369089,2020-01-02T23:50:43.000Z,"@realDonaldTrump
 @US_Conspiracies
 @rmoreau2014
 @FancyBitch_Here 
@MarenaHaas1
 @sailinjackvip
 @paulamac25
 @SouthSweetpea61 @tamrynhynes 
@JillRTeamXRP
 What is this talk about war with Iran? 50/60 missiles at key military installations and Iran won't do a thing but piss their pants!",1,3,3
Carlata Again,@AgainCarlata,2020-01-02T23:32:26.000Z,I'm still hoping I live long enough to see things put right.I'm still hoping I live long enough to see things put right.,1,,3
Georgia Blue Boy,@georgiaboy2020,2020-01-02T23:53:33.000Z,"You and me both. I'm a 68 year old white male in the deep South. I've lived through some trying times. But this time, to my knowledge, is the first time I've actually been afraid for the future of our democracy.  
@realDonaldTrump
 is a clear and present danger to this country.",2,,4
