User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ontario Proud,@ontarioisproud,2019-03-01T22:50:58.000Z,"No other prime minister in Canadian history has done anything close to what 
@JustinTrudeau
 tried to pull off with SNC-Lavalin.

It wasn't just unethical. Trudeau may have actually obstructed justice. He must take responsibility and resign #TrudeauIsBananas0:42
9.9K views",55,337,651
Cory Morgan,@CoryBMorgan,2019-03-01T21:02:41.000Z,Resign!Resign!,9,4,72
Bill Brasky,@Polkameister,2019-03-01T22:49:48.000Z,"A real man will always be accountable for how he treats a lady. In attempting to create a he said/she said without providing ANY evidence to refute the factual evidence provided by Ms.Wilson-Raybould it is very clear that you sir, are no gentleman. 
@JustinTrudeau",5,31,72
Scott Moe,@PremierScottMoe,2019-03-01T23:07:45.000Z,"PM 
@JustinTrudeau
, the current system is not broken.

What is broken is political will, behind & supporting the resource sector that Canada is known for.

We cannot submit these sectors to uncertainty & more delays which will be the only results of C-69 and related legislation.",26,163,478
Katie Arnup,@KArnup,2019-03-01T20:42:57.000Z,"100% this. All of this. #JodyWilsonRaybould's testimony & the ensuing conversation provides us with an opportunity to look at power & corporate influence in #cdnpoli. Hard to believe a 
@CPC_HQ
 gov would behave any different from 
@JustinTrudeau
's 
@liberal_partyQuote Tweet
Ritika Goel
@RitikaGoelTO
 ∑ Feb 28, 2019
Just finished watching #JodyWilsonRaybould @Puglaas full testimony. If you have not watched the full video, I highly recommend it. Some reflections on this and the #SNCLavalinScandal..
Show this thread",,2,4
Alan Blanes,@manifesto2000,2019-03-01T21:49:26.000Z,"You have a point, Raoul, but I like to call these 17 Goals ""The Industrial Strategy for the 21st Century"". It would be good to find out other nicknames for the SDGs. @_TreGraves_ 
@secgen
 @rodgers_kirwa
 @MrOrganic
 @TheVillaSomalia
 @MofaSomaliaYou have a point, Raoul, but I like to call these 17 Goals ""The Industrial Strategy for the 21st Century"". It would be good to find out other nicknames for the SDGs. @_TreGraves_ 
@secgen
 @rodgers_kirwa
 @MrOrganic
 @TheVillaSomalia
 @MofaSomalia",2,3,10
"Raoul Davis, CEO Branding Expert",@Ceo_Branding,2019-03-01T22:03:18.000Z,"I'm thinking of something more sticky and personally relevant:

""Saving Your Environment""  
""Imagine a Smarter World"" 
""Your Action Matters"" 
""We Share This World"" #WeSTWorld",2,3,14
Sonia Deol,@soniadeol1,2019-03-01T21:50:42.000Z,"on #focusbc at 2pm 
@BC1
: latest from 
@davidakin
 on JWR 
@Puglaas
  @JustinTrudeau
. Former Liberal Minister 
@ujjaldosanjh
 says bad news for Libs in BC, 
@AJWVictoriaBC
 on money laundering inquiry 
@keithbaldrey
 @richardzussman
 on 
@nathancullen
 not running and 
@NDP
 future #BCpoli",1,5,16
"Raoul Davis, CEO Branding Expert",@Ceo_Branding,2019-03-01T21:43:58.000Z,"Here's the thing with that.

""Sustainable Development Goals"" is such a mouthful and not the best branding. It sounds academic vs. accessible.

A catchier name and tagline could go along way toward influencing peopleHere's the thing with that.

""Sustainable Development Goals"" is such a mouthful and not the best branding. It sounds academic vs. accessible.

A catchier name and tagline could go along way toward influencing people",3,1,3
"Christina Goebel, M.A.",@loveGoldenHeart,2019-03-01T21:52:51.000Z,"The #SDGs were designed to bring governments together for some of the greatest causes undertaken by humanity. Hopefully, the world will come together to brand, share, implement, and honor such an undertaking.  #sustainabledevelopmentGIF",1,4,11
Alex Pierson,@AlexpiersonAMP,2019-03-01T21:01:44.000Z,"I'm sure this will be more than 9000 jobs...Time to get involved 
@JustinTrudeauGAP Is Closing 230 Stores Over The Next Two Years In Response To Declining Sales
Gap Inc. shuttering hundreds of stores and splitting Old Navy into a separate public company.
narcity.com",33,54,121
Gillian Turner,@GillianHTurner,2019-03-01T20:59:54.000Z,"#BREAKING: Canadian PM 
@JustinTrudeau
 battling obstruction of justice accusations this week- & a scandal that may topple his administration. His office tells me a few minutes ago they plan to fight to the finish ",11,3,27
Because News,@CBCBecauseNews,2019-03-01T21:00:03.000Z,"The gloves are off now! Lil 
@JustinTrudeau
 & 
@TheMarthaChaves
 are back again!",1,7,17
Because News,@CBCBecauseNews,2019-03-01T21:00:03.000Z,"The gloves are off now! Lil 
@JustinTrudeau
 & 
@TheMarthaChaves
 are back again!2:19
547 views",1,7,17
Andrea Khanjin,@Andrea_Khanjin,2019-04-01T23:48:03.000Z,"Before & after the Carbon Tax.

Thanks fo making life less affordable 
@JustinTrudeau
! #Barrie #Innisfil can't afford Trudeaus tax plan. We don't need a #carbontax to achieve our targets! Our #madeinontariocarbonplan works! We have an environment 
 plan unlike Trudeau's TAX PLAN.",161,142,404
