User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nevada 4,@JackieAlspaugh,2019-03-01T23:54:57.000Z,"What is wrong with you, he was taken under obummers watch and potus had him released and 3 others. Use common sense what ever your fake news tells you how to feel u do. B4 he was talking too harsh",,1,1
Tom Malinowski,@Malinowski,2019-03-01T23:51:01.000Z,I'll be introducing a bipartisan resolution next week affirming that Congress holds Kim Jong Un responsible for the death of Otto Warmbier.,486,3.3K,17.8K
BON,@Dist_5,2019-03-01T23:58:50.000Z,"Thank you. If Osama bin Laden was still alive and told 
@realDonaldTrump
 he had nothing to do with 9-11, he would believe him too. Trump loves ruthless killers. #MobBoss #CrimeFamily 
@GOP
 @SenateGOP
 @SenJoniErnst",,,6
Lana Montalban,@LanaMontalban,2019-03-01T23:55:45.000Z,"I wish I could laugh at your ridiculous words, but I remember that your #BFF #KimJongUn controls #NorthKorea with an iron fist and #OttoWarmbier died a horrible death for taking a poster off a wall, and I no longer feel like laughing but crying. You have no dignity nor morals.I wish I could laugh at your ridiculous words, but I remember that your #BFF #KimJongUn controls #NorthKorea with an iron fist and #OttoWarmbier died a horrible death for taking a poster off a wall, and I no longer feel like laughing but crying. You have no dignity nor morals.",,,9
Rory Schuler,@RorySchuler,2019-03-01T23:54:35.000Z,"#TooLittleTooLate

You sold out #OttoWarmbier#TooLittleTooLate

You sold out #OttoWarmbier",,1,3
Paulette Megee,@vpmegee,2019-03-01T23:59:58.000Z,"Better question? Would you praise the world's most brutal dictator as a great and very smart guy? Would you fall in love with him? And most importantly, would you hold him personally responsible for the brutal death of a young American college student? #NopraiseforkimBetter question? Would you praise the world's most brutal dictator as a great and very smart guy? Would you fall in love with him? And most importantly, would you hold him personally responsible for the brutal death of a young American college student? #Nopraiseforkim",,,5
Patrice,@patrice_noonan,2019-03-01T23:59:39.000Z,"Which lie should we believe, Donald? This tweet where you were ""misinterpreted"" or when you proclaimed that Kim didn't know about the treatment Otto received in NK? You are just a corrupt and stupid liar.Which lie should we believe, Donald? This tweet where you were ""misinterpreted"" or when you proclaimed that Kim didn't know about the treatment Otto received in NK? You are just a corrupt and stupid liar.",,,2
Ed Herro,@EddieSixEggs,2019-03-01T23:58:07.000Z,"""[Kim Jong Un] tells me that he didn't know about it and I will take him at his word... He felt badly about it. He felt very badly."" î Donald Trump. On tape.""[Kim Jong Un] tells me that he didn't know about it and I will take him at his word... He felt badly about it. He felt very badly."" î Donald Trump. On tape.",,,5
s…ê◊üo…•…îƒ±u ◊ü«ù…ê…•…îƒ±…Ø,@nicholi57,2019-03-01T23:58:02.000Z,"American hostages released from North Korea during the Obama admin; 
1. Euna Lee  
2. Laura Ling  
3. Robert Park  
4. Aijalon Gomes  
5. Eddie Yong Su Jun  
6. Merrill Newman  
7. Jeffrey Fowle  
8. Kenneth Bae 
 9. Matthew Miller  
10. Sandra Suh 
11. Arturo Pierre MartinezAmerican hostages released from North Korea during the Obama admin; 
1. Euna Lee  
2. Laura Ling  
3. Robert Park  
4. Aijalon Gomes  
5. Eddie Yong Su Jun  
6. Merrill Newman  
7. Jeffrey Fowle  
8. Kenneth Bae 
 9. Matthew Miller  
10. Sandra Suh 
11. Arturo Pierre Martinez",,,4
Russell Cook,@Recook63Russell,2019-03-01T23:42:45.000Z,"Did he say, I'm not Holding North Korea Responsible for Otto's Treatment, No he did not, But everyone seems to be Interpreting this as if he had... That's The Misinterpretation...Did he say, I'm not Holding North Korea Responsible for Otto's Treatment, No he did not, But everyone seems to be Interpreting this as if he had... That's The Misinterpretation...",18,1,
Make Competence Great Again Hogweed,@TheGiantHogweed,2019-03-01T23:56:30.000Z,"If that's true, did he ask for an inquest from the North Koreans? The names of the people responsible?

No mention of that I notice. 

Get real. KJU said úit's a shame, I dunnoù and Trump went úokù and it ended there.",1,,3
"AZ Sue
#DemCastAZ #Vaccinated",@New2018World,2019-04-01T21:58:14.000Z,Why are they always yelling?Why are they always yelling?,80,93,198
"BeaglesResist, House of Pfizer",@BeaglesResist,2019-04-01T23:58:25.000Z,"They thought their white skin & their guns assured them respect & prosperity.  So they did nothing to better themselves, to evolve. Then they saw that the rest of us had surpassed them & they were enraged.  

In trump they see reflected their own racism, ignorance, envy, & rage.",2,5,14
MK25,@MK25Patriot,2019-04-01T23:55:20.000Z,The Democrats cannot be trusted and must never be allowed in power. Vote them out & just tell the Muslims to go home.The Democrats cannot be trusted and must never be allowed in power. Vote them out & just tell the Muslims to go home.,,,
"kc
Waiting for 01-20-21",@potomus2,2019-04-01T23:51:25.000Z,You forgot that they just don't care about the truth.,,2,27
Voice of Arakan,@arakan_voice,2019-04-01T23:47:36.000Z,"#BurmeseGovt imposes #curfews in five major townships in #Arakan (#Rakhine). Now, the #NLD govt has given the #BurmeseMilitary permission to kill any civilian they want. #UnitedStates and #UN shouldn't keep silent on this.
@UN
 @UNGeneva
 @VP
 @realDonaldTrump
 @hrw
 @eucopresident",,8,11
Lola Francesca,@LolaFrancesca2,2019-04-01T23:54:43.000Z,"Researching the Special Olympics was very interesting. They receive all Television revenue, receive a lot of money from corporate sponsors, yet their organization has no transparency for where exactly all this money goes. No one is held accountable and responsible. Interesting.Researching the Special Olympics was very interesting. They receive all Television revenue, receive a lot of money from corporate sponsors, yet their organization has no transparency for where exactly all this money goes. No one is held accountable and responsible. Interesting.",21,46,151
